section,cluster,count,fraction
section1,0,37275,0.05601902016684726
section1,1,60023,0.09020602675988391
section1,2,41804,0.06282546261716654
section1,3,20659,0.031047536891398997
section1,4,99261,0.14917515656019922
section1,5,45247,0.06799980162278572
section1,6,66801,0.10039239614126261
section1,7,102474,0.15400383829852465
section1,8,51596,0.07754144505777737
section1,9,31169,0.0468425711490399
section1,10,58529,0.08796075738015838
section1,11,50561,0.07598598735495544
section2,0,37821,0.09371770950260554
section2,1,29860,0.07399092582818544
section2,2,29203,0.07236292722573676
section2,3,51336,0.12720690449818245
section2,4,49410,0.12243441544442875
section2,5,17881,0.04430782802189497
section2,6,32320,0.08008662835790199
section2,7,49921,0.12370063657966662
section2,8,19059,0.04722682703815761
section2,9,24658,0.061100745112906786
section2,10,35859,0.08885601504597795
section2,11,26235,0.06500843734435516
