mode,k,scope,n_obs,metric_sample_size,silhouette_sample_size,n_clusters_observed,silhouette,calinski_harabasz,davies_bouldin,section_ARI_diagnostic,section_NMI_diagnostic
joint,2,combined,1068962,1068962,10000,2,0.1140488311648368,135263.30336053338,2.791773817971744,0.0021930445843686,0.0007190660203727
joint,3,combined,1068962,1068962,10000,3,0.0967925563454628,100447.52767232448,2.931643703435753,-0.0014660960229487,0.000519039913636
joint,4,combined,1068962,1068962,10000,4,0.0814333260059356,82042.67785467212,3.2749768138630877,0.008908945910985,0.0082114405020406
joint,5,combined,1068962,1068962,10000,5,0.0944566056132316,81370.52372281546,2.791033356195632,0.0008925759872361,0.0014240009832049
joint,6,combined,1068962,1068962,10000,6,0.096652090549469,75744.57879154349,2.725333509327719,0.003030164257001,0.0057601811792762
joint,7,combined,1068962,1068962,10000,7,0.1086206808686256,73846.04967721674,2.450994962956855,0.0013217614674652,0.0020815640529598
joint,8,combined,1068962,1068962,10000,8,0.1075726449489593,68146.3195956703,2.50129627840981,0.0032697307116969,0.0064884653319748
joint,9,combined,1068962,1068962,10000,9,0.1107701435685157,67102.44558051098,2.40330682971034,0.0035201666716606,0.0051409469609913
joint,10,combined,1068962,1068962,10000,10,0.1254959255456924,67823.97108304712,2.151849186289048,0.0147471338349105,0.0360350358518957
joint,11,combined,1068962,1068962,10000,11,0.1281697452068328,66046.48712740566,2.173478697776747,0.0028687264449701,0.0054257163185672
joint,12,combined,1068962,1068962,10000,12,0.1205137073993682,61453.05989575056,2.188217332541272,0.008412101351888,0.0154092313626696
joint,13,combined,1068962,1068962,10000,13,0.1285637021064758,61840.13321149043,2.090238349166733,0.0123133980809971,0.0356647421076827
joint,14,combined,1068962,1068962,10000,14,0.1205429211258888,57246.76975791175,2.203496401866184,0.0155611424377936,0.0397796129958873
joint,15,combined,1068962,1068962,10000,15,0.1302639544010162,56724.57000354691,2.1136402207943314,0.0113293539429283,0.0354029024811568
joint,16,combined,1068962,1068962,10000,16,0.1283132284879684,55131.72330123456,2.154129026483266,0.0157324378494984,0.0438039605291727
joint,17,combined,1068962,1068962,10000,17,0.1187488138675689,51273.79623368907,2.297593880998535,0.0024952903413876,0.0065413056481539
joint,18,combined,1068962,1068962,10000,18,0.1258033663034439,52146.18583239185,2.167168209498501,0.0102491616754603,0.0336332441764908
joint,19,combined,1068962,1068962,10000,19,0.1307090818881988,51278.99384169933,2.086441362926845,0.0126692148941674,0.0405141929746386
joint,20,combined,1068962,1068962,10000,20,0.1247392073273658,49334.72393407513,2.128274014838163,0.0124521306399654,0.0442878932450992
independent,2,section1,665399,665399,10000,2,0.1157203465700149,85493.411494205,2.777584899386211,,
independent,2,section2,403563,403563,10000,2,0.1056177020072937,44369.39486849022,2.9780023057362706,,
independent,3,section1,665399,665399,10000,3,0.0950811132788658,64872.41650458811,2.86121893086636,,
independent,3,section2,403563,403563,10000,3,0.1062214076519012,43245.50520788599,2.513623219876599,,
independent,4,section1,665399,665399,10000,4,0.0927983373403549,54618.87799123911,2.8834213866546192,,
independent,4,section2,403563,403563,10000,4,0.1075335294008255,37954.88208404022,2.591297026521912,,
independent,5,section1,665399,665399,10000,5,0.0967012792825698,51626.10858488729,2.835461334606093,,
independent,5,section2,403563,403563,10000,5,0.1175161153078079,35792.450504239096,2.5004841886588567,,
independent,6,section1,665399,665399,10000,6,0.1052217781543731,49552.94041012692,2.476008337164679,,
independent,6,section2,403563,403563,10000,6,0.1152012571692466,31937.072818769517,2.620001990609636,,
independent,7,section1,665399,665399,10000,7,0.1133979856967926,48578.24034426591,2.3413398815012205,,
independent,7,section2,403563,403563,10000,7,0.1171649023890495,29819.39204402225,2.454903157459887,,
independent,8,section1,665399,665399,10000,8,0.1265966296195984,48306.04853131789,2.2093004274673067,,
independent,8,section2,403563,403563,10000,8,0.1315918415784835,30220.14039062107,2.3345291368490475,,
independent,9,section1,665399,665399,10000,9,0.124385766685009,46195.22340732304,2.2784896001472337,,
