mode,k,section_ARI_diagnostic,section_NMI_diagnostic
joint,2,0.0021930445843686,0.0007190660203727
joint,3,-0.0014660960229487,0.000519039913636
joint,4,0.008908945910985,0.0082114405020406
joint,5,0.0008925759872361,0.0014240009832049
joint,6,0.003030164257001,0.0057601811792762
joint,7,0.0013217614674652,0.0020815640529598
joint,8,0.0032697307116969,0.0064884653319748
joint,9,0.0035201666716606,0.0051409469609913
joint,10,0.0147471338349105,0.0360350358518957
joint,11,0.0028687264449701,0.0054257163185672
joint,12,0.008412101351888,0.0154092313626696
joint,13,0.0123133980809971,0.0356647421076827
joint,14,0.0155611424377936,0.0397796129958873
joint,15,0.0113293539429283,0.0354029024811568
joint,16,0.0157324378494984,0.0438039605291727
joint,17,0.0024952903413876,0.0065413056481539
joint,18,0.0102491616754603,0.0336332441764908
joint,19,0.0126692148941674,0.0405141929746386
joint,20,0.0124521306399654,0.0442878932450992
