mode,k,section,neighbor_same_cluster_fraction
joint,2,section1,0.9505206650445824
joint,2,section2,0.9516304352315088
independent,2,section1,0.9504297421547072
independent,2,section2,0.9676634544461872
joint,3,section1,0.9148906645987344
joint,3,section2,0.9163166593567796
independent,3,section1,0.9024437467845108
independent,3,section2,0.9266739848136062
joint,4,section1,0.8571566333382927
joint,4,section2,0.900223756885542
independent,4,section1,0.840047850988655
independent,4,section2,0.9323393538720514
joint,5,section1,0.8472362697669619
joint,5,section2,0.8482467421443493
independent,5,section1,0.8193715349737526
independent,5,section2,0.905748710032056
joint,6,section1,0.7917733069431524
joint,6,section2,0.795004332243871
independent,6,section1,0.8350768987229217
independent,6,section2,0.8697568079002947
joint,7,section1,0.7754435058263288
joint,7,section2,0.7674997460123946
independent,7,section1,0.7877747035988933
independent,7,section2,0.8317189633341014
joint,8,section1,0.7270602550750251
joint,8,section2,0.7243668687829823
independent,8,section1,0.7646800390943379
independent,8,section2,0.8737470977269968
joint,9,section1,0.7574522955399693
joint,9,section2,0.7406431379156827
independent,9,section1,0.7511883847135328
independent,9,section2,0.8126789786642151
joint,10,section1,0.7626689650370179
joint,10,section2,0.7403978230577795
independent,10,section1,0.7610413701653694
independent,10,section2,0.838415563369288
joint,11,section1,0.7320730368796267
joint,11,section2,0.720443895996412
independent,11,section1,0.727734286746248
independent,11,section2,0.797969998901452
joint,12,section1,0.7387702716715835
joint,12,section2,0.7261716262392737
independent,12,section1,0.7135903921306364
independent,12,section2,0.7923199103981287
joint,13,section1,0.710605716770439
joint,13,section2,0.6969849399804574
independent,13,section1,0.7003244168786948
independent,13,section2,0.7624728563652597
joint,14,section1,0.7284143298482063
joint,14,section2,0.6982305117168819
independent,14,section1,0.6807003517187933
independent,14,section2,0.7806389584773629
joint,15,section1,0.7052036948257111
joint,15,section2,0.6953883284642051
independent,15,section1,0.686701011974269
independent,15,section2,0.756789728823835
joint,16,section1,0.6971894557501088
joint,16,section2,0.6993113012507753
independent,16,section1,0.6576224691250413
independent,16,section2,0.756771144364903
joint,17,section1,0.6691243399323814
joint,17,section2,0.6632809912372212
independent,17,section1,0.6483623610294976
independent,17,section2,0.7607680419992252
joint,18,section1,0.635294011562987
joint,18,section2,0.6479554204258897
independent,18,section1,0.6253693898948851
independent,18,section2,0.72214168956685
joint,19,section1,0.6786411862155889
joint,19,section2,0.6893855482291489
independent,19,section1,0.6273614277548759
independent,19,section2,0.7227388701805335
joint,20,section1,0.6489099021789934
joint,20,section2,0.6634643578986842
independent,20,section1,0.6152987405551656
independent,20,section2,0.6926283298188056
