mode,scope,k,n_obs,raw_vs_standardized_ari,raw_vs_standardized_nmi
joint,combined,2,1068962,0.9746781516234891,0.9441464753080071
joint,combined,3,1068962,0.6447336401766809,0.5934687493906486
joint,combined,4,1068962,0.3653815331922896,0.4579801082346613
joint,combined,5,1068962,0.47686238873795583,0.5733155928391929
joint,combined,6,1068962,0.5635591845596468,0.6497227229496467
joint,combined,7,1068962,0.52702909060933,0.6389617475650416
joint,combined,8,1068962,0.5085901953708939,0.6249610496503321
joint,combined,9,1068962,0.6334210656677741,0.7164060041776416
joint,combined,10,1068962,0.853453650020287,0.86431544647003
joint,combined,11,1068962,0.7016170773021189,0.7693099229593546
joint,combined,12,1068962,0.697596003293509,0.7714941316196009
joint,combined,13,1068962,0.6502385820832157,0.7426944335170025
joint,combined,14,1068962,0.5765551318717574,0.7200996056551681
joint,combined,15,1068962,0.6231416310071958,0.7244804558987741
joint,combined,16,1068962,0.7275907647126919,0.8131570823077062
joint,combined,17,1068962,0.5799268441773805,0.7232343354808883
joint,combined,18,1068962,0.670854947265073,0.7756935905733124
joint,combined,19,1068962,0.6208426814217097,0.7501084109750088
joint,combined,20,1068962,0.5800070081430347,0.7356519258667132
independent,section1,2,665399,0.8731829358011564,0.8024918989877298
independent,section1,3,665399,0.41461698810338077,0.4904704937054399
independent,section1,4,665399,0.4490240267341712,0.49341255716076565
independent,section1,5,665399,0.5243139999612514,0.6328129121868087
independent,section1,6,665399,0.48167783736287584,0.5901653029639977
independent,section1,7,665399,0.4233722286391289,0.5654559845456376
independent,section1,8,665399,0.6934487912270302,0.7551637345520943
independent,section1,9,665399,0.7092566681308413,0.7678523877583681
independent,section1,10,665399,0.7811332042436904,0.8173256940159963
independent,section1,11,665399,0.5335928918477596,0.6779134487965128
independent,section1,12,665399,0.5715223425198375,0.7095231190404275
independent,section1,13,665399,0.7086029655107258,0.7906464030869959
independent,section1,14,665399,0.6458266709255456,0.7502140174487206
independent,section1,15,665399,0.594937545965573,0.7311579298075024
independent,section1,16,665399,0.5798907262772393,0.7095079700224435
independent,section1,17,665399,0.5891259853049986,0.7218518452213456
independent,section1,18,665399,0.6266146888301597,0.7389277086043636
independent,section1,19,665399,0.6625577677165211,0.759855151555189
independent,section1,20,665399,0.6151505751456272,0.7506451836614829
independent,section2,2,403563,0.21893061089611535,0.1764543222373212
independent,section2,3,403563,0.6605745843861727,0.6375356004670728
independent,section2,4,403563,0.6912617881463914,0.7261726635787896
independent,section2,5,403563,0.4879126961898492,0.5755281312645999
independent,section2,6,403563,0.516030778736559,0.6064353019905832
independent,section2,7,403563,0.5815771007061035,0.6713515285509529
independent,section2,8,403563,0.757549710243287,0.8063272758261179
independent,section2,9,403563,0.6048443940331839,0.71709341596726
independent,section2,10,403563,0.7001580492511551,0.7842302982985375
independent,section2,11,403563,0.5080791962093681,0.6571793191990748
independent,section2,12,403563,0.5366136068823966,0.667086325527099
independent,section2,13,403563,0.5919115796938251,0.721663194210351
independent,section2,14,403563,0.5198917978882345,0.6940426475405218
independent,section2,15,403563,0.5953772876684262,0.7348871018321401
independent,section2,16,403563,0.6657395860323779,0.7791973576805029
independent,section2,17,403563,0.6003553561086171,0.7454547598784802
independent,section2,18,403563,0.6758189109357027,0.8026939523229109
independent,section2,19,403563,0.5825173897647696,0.7428958419411268
independent,section2,20,403563,0.5808120969097783,0.7365089773607885
