mode,scope,k,n_iter,n_steps,inertia,labels_cache,centers_cache
joint,combined,2,1,171,145010352.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k2.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k2_centers.npy
joint,combined,3,2,389,137395312.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k3.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k3_centers.npy
joint,combined,4,2,389,132656112.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k4.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k4_centers.npy
joint,combined,5,2,389,125270696.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k5.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k5_centers.npy
joint,combined,6,2,391,120546000.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k6.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k6_centers.npy
joint,combined,7,3,540,115329616.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k7.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k7_centers.npy
joint,combined,8,2,424,112749280.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k8.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k8_centers.npy
joint,combined,9,2,441,108525840.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k9.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k9_centers.npy
joint,combined,10,2,489,103726312.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k10.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k10_centers.npy
joint,combined,11,2,507,100775672.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k11.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k11_centers.npy
joint,combined,12,2,405,99832376.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k12.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k12_centers.npy
joint,combined,13,2,406,96249504.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k13.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k13_centers.npy
joint,combined,14,2,438,95939392.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k14.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k14_centers.npy
joint,combined,15,2,513,93327904.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k15.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k15_centers.npy
joint,combined,16,2,513,91823232.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k16.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k16_centers.npy
joint,combined,17,2,426,92146760.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k17.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k17_centers.npy
joint,combined,18,2,406,89037104.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k18.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k18_centers.npy
joint,combined,19,3,544,87332312.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k19.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k19_centers.npy
joint,combined,20,2,513,86802920.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k20.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/joint_combined_k20_centers.npy
independent,section1,2,1,33,89506296.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k2.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k2_centers.npy
independent,section1,3,1,160,84660072.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k3.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k3_centers.npy
independent,section1,4,1,147,81197208.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k4.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k4_centers.npy
independent,section1,5,2,256,77036752.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k5.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k5_centers.npy
independent,section1,6,3,336,73419280.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k6.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k6_centers.npy
independent,section1,7,3,336,70092640.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k7.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section1_k7_centers.npy
