mode,scope,k,label,n_labeled,n_label_classes,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,label_asw_n_obs,metric_space
joint,combined,2,cell_type_common,956139,16,0.4528871160871462,0.3997281515182428,0.2870405556999097,0.658079970759465,0.3997281515182428,0.023637020960450172,0.5118185104802251,10000,raw_embedding
joint,combined,2,spatial_cluster,344594,8,0.20947672274013676,0.36052012421240637,0.2409235083070521,0.7158987708427591,0.36052012421240637,0.060927629470825195,0.5304638147354126,10000,raw_embedding
joint,combined,2,codex_coarse_label,665399,10,0.16934767527846023,0.16793537051401822,0.11916712257438684,0.2842712328350076,0.16793537051401825,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
joint,combined,3,cell_type_common,956139,16,0.5785670105585486,0.40201298332080493,0.33368579402096116,0.5055273096838935,0.4020129833208049,0.023637020960450172,0.5118185104802251,10000,raw_embedding
joint,combined,3,spatial_cluster,344594,8,0.27852097532907966,0.4336625137841868,0.3248906902286003,0.6519232476023681,0.4336625137841868,0.060927629470825195,0.5304638147354126,10000,raw_embedding
joint,combined,3,codex_coarse_label,665399,10,0.2554674893266065,0.1539145022103126,0.12765325900471655,0.19377943776323944,0.15391450221031264,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
joint,combined,4,cell_type_common,956139,16,0.32549235821938716,0.3717851145205954,0.3460649883615477,0.4016353202762946,0.3717851145205954,0.023637020960450172,0.5118185104802251,10000,raw_embedding
joint,combined,4,spatial_cluster,344594,8,0.3155646095057221,0.4505783412290038,0.37462911172039587,0.5651527732134921,0.4505783412290038,0.060927629470825195,0.5304638147354126,10000,raw_embedding
joint,combined,4,codex_coarse_label,665399,10,0.1347792296688298,0.14609191497137558,0.13391266549093125,0.1607081964972219,0.14609191497137555,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
joint,combined,5,cell_type_common,956139,16,0.3215729672179346,0.3449435829425609,0.34532040436083505,0.3445675830199233,0.3449435829425609,0.023637020960450172,0.5118185104802251,10000,raw_embedding
joint,combined,5,spatial_cluster,344594,8,0.33014218218988584,0.4438714572403389,0.39276633258547766,0.5102650238099713,0.44387145724033883,0.060927629470825195,0.5304638147354126,10000,raw_embedding
