mode,scope,k,section,n_obs,spatial_neighbor_k,neighbor_same_cluster_fraction
joint,combined,2,section1,665399,6,0.9505206650445823
joint,combined,2,section2,403563,6,0.9516304352315087
joint,combined,3,section1,665399,6,0.9148906645987345
joint,combined,3,section2,403563,6,0.9163166593567795
joint,combined,4,section1,665399,6,0.8571566333382927
joint,combined,4,section2,403563,6,0.900223756885542
joint,combined,5,section1,665399,6,0.8472362697669619
joint,combined,5,section2,403563,6,0.8482467421443493
joint,combined,6,section1,665399,6,0.7917733069431524
joint,combined,6,section2,403563,6,0.795004332243871
joint,combined,7,section1,665399,6,0.7754435058263288
joint,combined,7,section2,403563,6,0.7674997460123946
joint,combined,8,section1,665399,6,0.7270602550750251
joint,combined,8,section2,403563,6,0.7243668687829823
joint,combined,9,section1,665399,6,0.7574522955399693
joint,combined,9,section2,403563,6,0.7406431379156827
joint,combined,10,section1,665399,6,0.7626689650370179
joint,combined,10,section2,403563,6,0.7403978230577795
joint,combined,11,section1,665399,6,0.7320730368796267
joint,combined,11,section2,403563,6,0.720443895996412
joint,combined,12,section1,665399,6,0.7387702716715835
joint,combined,12,section2,403563,6,0.7261716262392737
joint,combined,13,section1,665399,6,0.710605716770439
joint,combined,13,section2,403563,6,0.6969849399804574
joint,combined,14,section1,665399,6,0.7284143298482063
joint,combined,14,section2,403563,6,0.6982305117168819
joint,combined,15,section1,665399,6,0.7052036948257111
joint,combined,15,section2,403563,6,0.6953883284642051
joint,combined,16,section1,665399,6,0.6971894557501088
joint,combined,16,section2,403563,6,0.6993113012507753
joint,combined,17,section1,665399,6,0.6691243399323814
joint,combined,17,section2,403563,6,0.6632809912372212
joint,combined,18,section1,665399,6,0.635294011562987
joint,combined,18,section2,403563,6,0.6479554204258897
joint,combined,19,section1,665399,6,0.6786411862155889
joint,combined,19,section2,403563,6,0.6893855482291489
joint,combined,20,section1,665399,6,0.6489099021789934
joint,combined,20,section2,403563,6,0.6634643578986842
independent,section1,2,section1,665399,6,0.9504297421547072
independent,section1,3,section1,665399,6,0.9024437467845108
independent,section1,4,section1,665399,6,0.840047850988655
independent,section1,5,section1,665399,6,0.8193715349737526
independent,section1,6,section1,665399,6,0.8350768987229217
independent,section1,7,section1,665399,6,0.7877747035988933
independent,section1,8,section1,665399,6,0.7646800390943379
independent,section1,9,section1,665399,6,0.7511883847135328
independent,section1,10,section1,665399,6,0.7610413701653694
independent,section1,11,section1,665399,6,0.727734286746248
independent,section1,12,section1,665399,6,0.7135903921306364
independent,section1,13,section1,665399,6,0.7003244168786948
independent,section1,14,section1,665399,6,0.6807003517187933
independent,section1,15,section1,665399,6,0.686701011974269
independent,section1,16,section1,665399,6,0.6576224691250413
independent,section1,17,section1,665399,6,0.6483623610294976
independent,section1,18,section1,665399,6,0.6253693898948851
independent,section1,19,section1,665399,6,0.6273614277548759
independent,section1,20,section1,665399,6,0.6152987405551656
independent,section2,2,section2,403563,6,0.9676634544461873
independent,section2,3,section2,403563,6,0.9266739848136062
independent,section2,4,section2,403563,6,0.9323393538720514
independent,section2,5,section2,403563,6,0.9057487100320561
independent,section2,6,section2,403563,6,0.8697568079002947
independent,section2,7,section2,403563,6,0.8317189633341014
independent,section2,8,section2,403563,6,0.8737470977269968
independent,section2,9,section2,403563,6,0.8126789786642151
independent,section2,10,section2,403563,6,0.838415563369288
independent,section2,11,section2,403563,6,0.797969998901452
independent,section2,12,section2,403563,6,0.7923199103981287
independent,section2,13,section2,403563,6,0.7624728563652597
independent,section2,14,section2,403563,6,0.7806389584773629
independent,section2,15,section2,403563,6,0.756789728823835
independent,section2,16,section2,403563,6,0.756771144364903
independent,section2,17,section2,403563,6,0.7607680419992252
independent,section2,18,section2,403563,6,0.72214168956685
independent,section2,19,section2,403563,6,0.7227388701805335
independent,section2,20,section2,403563,6,0.6926283298188056
