mode,k,neighbor_same_cluster_fraction
independent,2,0.9590465983004473
independent,3,0.9145588657990584
independent,4,0.8861936024303532
independent,5,0.8625601225029044
independent,6,0.8524168533116082
independent,7,0.8097468334664975
independent,8,0.8192135684106674
independent,9,0.781933681688874
independent,10,0.7997284667673288
independent,11,0.7628521428238499
independent,12,0.7529551512643825
independent,13,0.7313986366219773
independent,14,0.730669655098078
independent,15,0.721745370399052
independent,16,0.7071968067449721
independent,17,0.7045652015143614
independent,18,0.6737555397308675
independent,19,0.6750501489677048
independent,20,0.6539635351869857
joint,2,0.9510755501380455
joint,3,0.915603661977757
joint,4,0.8786901951119174
joint,5,0.8477415059556556
joint,6,0.7933888195935117
joint,7,0.7714716259193617
joint,8,0.7257135619290037
joint,9,0.749047716727826
joint,10,0.7515333940473987
joint,11,0.7262584664380194
joint,12,0.7324709489554286
joint,13,0.7037953283754482
joint,14,0.7133224207825442
joint,15,0.7002960116449581
joint,16,0.6982503785004421
joint,17,0.6662026655848012
joint,18,0.6416247159944384
joint,19,0.6840133672223689
joint,20,0.6561871300388388
