mode,scope,k,n_iter,n_steps,inertia,labels_cache,centers_cache
joint,combined,2,1,176,121447024.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k2.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k2_centers.npy
joint,combined,3,2,389,115209352.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k3.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k3_centers.npy
joint,combined,4,2,318,110149360.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k4.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k4_centers.npy
joint,combined,5,3,589,104909888.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k5.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k5_centers.npy
joint,combined,6,2,486,100560240.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k6.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k6_centers.npy
joint,combined,7,2,399,96949824.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k7.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k7_centers.npy
joint,combined,8,3,547,95046424.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k8.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k8_centers.npy
joint,combined,9,2,399,89491720.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k9.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k9_centers.npy
joint,combined,10,2,513,87190144.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k10.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k10_centers.npy
joint,combined,11,2,491,85386160.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k11.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k11_centers.npy
joint,combined,12,2,406,82695072.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k12.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k12_centers.npy
joint,combined,13,2,491,82493952.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k13.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k13_centers.npy
joint,combined,14,2,406,79382560.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k14.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k14_centers.npy
joint,combined,15,2,513,78250016.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k15.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k15_centers.npy
joint,combined,16,2,513,76866448.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k16.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k16_centers.npy
joint,combined,17,2,406,75526488.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k17.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k17_centers.npy
joint,combined,18,2,406,75130168.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k18.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k18_centers.npy
joint,combined,19,2,406,74109816.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k19.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k19_centers.npy
joint,combined,20,2,450,73522848.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k20.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/joint_combined_k20_centers.npy
independent,section1,2,3,336,75418432.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k2.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k2_centers.npy
independent,section1,3,1,137,70898168.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k3.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k3_centers.npy
independent,section1,4,3,332,67061548.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k4.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k4_centers.npy
independent,section1,5,2,278,63947192.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k5.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k5_centers.npy
independent,section1,6,2,282,61211940.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k6.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k6_centers.npy
independent,section1,7,2,258,59412804.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k7.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k7_centers.npy
independent,section1,8,3,336,56795516.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k8.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k8_centers.npy
independent,section1,9,2,258,54296304.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k9.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/standardized_embedding/_label_cache/independent_section1_k9_centers.npy
