mode,scope,k,label,n_labeled,n_label_classes,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,label_asw_n_obs,metric_space
joint,combined,2,cell_type_common,956139,16,0.45034475169600396,0.3971986798899573,0.28522393633183496,0.6539168764381789,0.3971986798899573,0.02469717524945736,0.5123485876247287,10000,standardized_embedding
joint,combined,2,spatial_cluster,344594,8,0.20924302144826737,0.3608862393728013,0.24114281900487633,0.7168497214939029,0.36088623937280123,0.06080184876918793,0.530400924384594,10000,standardized_embedding
joint,combined,2,codex_coarse_label,665399,10,0.16513905328499845,0.16548681018427522,0.1174120655477265,0.2802264054812649,0.16548681018427522,-0.006588565185666084,0.49670571740716696,10000,standardized_embedding
joint,combined,3,cell_type_common,956139,16,0.49770241971003704,0.34277732711444253,0.2863841326780496,0.4268254578979304,0.34277732711444253,0.02469717524945736,0.5123485876247287,10000,standardized_embedding
joint,combined,3,spatial_cluster,344594,8,0.2446041925598108,0.37856913628226085,0.2854478599309529,0.5618659042156325,0.3785691362822609,0.06080184876918793,0.530400924384594,10000,standardized_embedding
joint,combined,3,codex_coarse_label,665399,10,0.24640597401823996,0.1661451560779535,0.13815103751732707,0.20836753522191098,0.16614515607795352,-0.006588565185666084,0.49670571740716696,10000,standardized_embedding
joint,combined,4,cell_type_common,956139,16,0.4232037368458038,0.3105656093117618,0.28545365271204187,0.3405220481721654,0.31056560931176186,0.02469717524945736,0.5123485876247287,10000,standardized_embedding
joint,combined,4,spatial_cluster,344594,8,0.35967033868662734,0.512668580131766,0.4205134133249066,0.656551241888159,0.5126685801317659,0.06080184876918793,0.530400924384594,10000,standardized_embedding
joint,combined,4,codex_coarse_label,665399,10,0.202158066600075,0.12801388950989462,0.11665693071755653,0.14182062128227613,0.12801388950989462,-0.006588565185666084,0.49670571740716696,10000,standardized_embedding
joint,combined,5,cell_type_common,956139,16,0.26357652871093623,0.35458325140986313,0.3516419913864498,0.35757412997288507,0.3545832514098632,0.02469717524945736,0.5123485876247287,10000,standardized_embedding
joint,combined,5,spatial_cluster,344594,8,0.32909957055459665,0.4407649394862401,0.3822485201627433,0.5204357103341392,0.4407649394862401,0.06080184876918793,0.530400924384594,10000,standardized_embedding
joint,combined,5,codex_coarse_label,665399,10,0.0853568796120729,0.13639082203086253,0.1341220444712889,0.1387376765578923,0.13639082203086253,-0.006588565185666084,0.49670571740716696,10000,standardized_embedding
joint,combined,6,cell_type_common,956139,16,0.29420353824934947,0.34359014788280384,0.357910573447091,0.33037158964760516,0.34359014788280384,0.02469717524945736,0.5123485876247287,10000,standardized_embedding
joint,combined,6,spatial_cluster,344594,8,0.3833308247207581,0.5247734900556453,0.48248264315422223,0.5751904117583918,0.5247734900556452,0.06080184876918793,0.530400924384594,10000,standardized_embedding
joint,combined,6,codex_coarse_label,665399,10,0.13405574268222506,0.14889928747493264,0.15287255996163907,0.14512731959424843,0.14889928747493267,-0.006588565185666084,0.49670571740716696,10000,standardized_embedding
joint,combined,7,cell_type_common,956139,16,0.25612541225283153,0.34466274062981905,0.3750177323531311,0.3188538146272416,0.3446627406298191,0.02469717524945736,0.5123485876247287,10000,standardized_embedding
joint,combined,7,spatial_cluster,344594,8,0.24635564985232383,0.38252937135807696,0.35951533748105174,0.4086913618677821,0.38252937135807696,0.06080184876918793,0.530400924384594,10000,standardized_embedding
joint,combined,7,codex_coarse_label,665399,10,0.10297560690892874,0.13712279064173893,0.14804384878797916,0.12770230911122832,0.13712279064173893,-0.006588565185666084,0.49670571740716696,10000,standardized_embedding
joint,combined,8,cell_type_common,956139,16,0.1940493294575166,0.33048938401754185,0.3736475859796581,0.2962688237604541,0.33048938401754185,0.02469717524945736,0.5123485876247287,10000,standardized_embedding
joint,combined,8,spatial_cluster,344594,8,0.26820512542841074,0.40669087766307443,0.40180746160882763,0.4116944565173631,0.4066908776630745,0.06080184876918793,0.530400924384594,10000,standardized_embedding
joint,combined,8,codex_coarse_label,665399,10,0.06966559579196031,0.13643246199609882,0.1514748717724835,0.12410777724832352,0.13643246199609885,-0.006588565185666084,0.49670571740716696,10000,standardized_embedding
joint,combined,9,cell_type_common,956139,16,0.20673021884570295,0.32790310483988594,0.38380739099264627,0.28621399364240074,0.32790310483988594,0.02469717524945736,0.5123485876247287,10000,standardized_embedding
joint,combined,9,spatial_cluster,344594,8,0.3370227306812146,0.4835589962754945,0.48825937830706384,0.478948250733636,0.48355899627549453,0.06080184876918793,0.530400924384594,10000,standardized_embedding
joint,combined,9,codex_coarse_label,665399,10,0.08728946104722157,0.13533666632869637,0.15579638068409363,0.119626857630867,0.1353366663286964,-0.006588565185666084,0.49670571740716696,10000,standardized_embedding
joint,combined,10,cell_type_common,956139,16,0.19723995722824117,0.3143048648922734,0.3777523041358399,0.26910574789718245,0.31430486489227344,0.02469717524945736,0.5123485876247287,10000,standardized_embedding
