mode,scope,k,n_obs,embedding_dim,cluster_asw,cluster_asw_scaled,cluster_asw_n_obs,calinski_harabasz,davies_bouldin,ch_dbi_n_obs,metric_space,section_ari,section_nmi
joint,combined,2,1068962,128,0.11414229869842529,0.5570711493492126,10000,135383.0751887684,2.790130178699704,1068962,standardized_embedding,0.0024370170276985415,0.0008238256070805302
joint,combined,3,1068962,128,0.09430518746376038,0.5471525937318802,10000,100335.93245182144,2.958984837036269,1068962,standardized_embedding,-0.0012603140072839495,0.0007693067930874902
joint,combined,4,1068962,128,0.09888531267642975,0.5494426563382149,10000,86347.08001816363,2.7077526233527593,1068962,standardized_embedding,0.0007080075851508303,0.0018525844579057344
joint,combined,5,1068962,128,0.10143201053142548,0.5507160052657127,10000,81674.65036435338,2.755871134150497,1068962,standardized_embedding,0.0016772527146803444,0.005092398781067647
joint,combined,6,1068962,128,0.10966577380895615,0.5548328869044781,10000,77508.0495032393,2.50746396004423,1068962,standardized_embedding,0.0023172570406391384,0.0022560189590803154
joint,combined,7,1068962,128,0.10895080864429474,0.5544754043221474,10000,73418.09709267234,2.476201362853477,1068962,standardized_embedding,0.00011519873911739635,0.002917905793398954
joint,combined,8,1068962,128,0.10438688844442368,0.5521934442222118,10000,67298.34312700629,2.527441037569579,1068962,standardized_embedding,0.00898110611552755,0.009447846613841071
joint,combined,9,1068962,128,0.12287774682044983,0.5614388734102249,10000,70726.07945486088,2.2590377846122736,1068962,standardized_embedding,0.0033636082348618033,0.005273469428725184
joint,combined,10,1068962,128,0.12400362640619278,0.5620018132030964,10000,67777.54677383084,2.18070516062935,1068962,standardized_embedding,0.016844777933565636,0.043306970870547634
joint,combined,11,1068962,128,0.12320103496313095,0.5616005174815655,10000,64610.33152934099,2.182645827910675,1068962,standardized_embedding,0.018242763556525547,0.03865986894598696
joint,combined,12,1068962,128,0.12968863546848297,0.5648443177342415,10000,63681.29438469258,2.1283307692917615,1068962,standardized_embedding,0.015139676791234928,0.03360635841353287
joint,combined,13,1068962,128,0.12200942635536194,0.561004713177681,10000,58715.23159448038,2.1578230442124102,1068962,standardized_embedding,0.009605038531673235,0.017325050372826452
joint,combined,14,1068962,128,0.127997487783432,0.563998743891716,10000,59568.15113276436,2.171749425067751,1068962,standardized_embedding,0.009777301424587367,0.03353322836731826
joint,combined,15,1068962,128,0.12690816819667816,0.5634540840983391,10000,57310.18317203957,2.1062720088762217,1068962,standardized_embedding,0.014389946095530728,0.03979670677040232
joint,combined,16,1068962,128,0.12778885662555695,0.5638944283127785,10000,55707.79151506663,2.118920522389547,1068962,standardized_embedding,0.012788147580914332,0.04079431629974578
joint,combined,17,1068962,128,0.13083861768245697,0.5654193088412285,10000,54262.95774735861,2.0920750215368424,1068962,standardized_embedding,0.011827740199941237,0.03722354821073922
joint,combined,18,1068962,128,0.12345047295093536,0.5617252364754677,10000,51662.90776246709,2.1558170597003876,1068962,standardized_embedding,0.015600110535789195,0.04970213453162229
joint,combined,19,1068962,128,0.1238495334982872,0.5619247667491436,10000,50427.694386139076,2.181979350727168,1068962,standardized_embedding,0.011816576806184953,0.039336929197313575
joint,combined,20,1068962,128,0.1269766390323639,0.563488319516182,10000,48498.50609721931,2.187423744613483,1068962,standardized_embedding,0.013025217145375386,0.043569602532269935
independent,section1,2,665399,128,0.11650898307561874,0.5582544915378094,10000,86056.51116373403,2.7568311996962604,665399,standardized_embedding,,
independent,section1,3,665399,128,0.11186309903860092,0.5559315495193005,10000,67011.57185902991,2.519392731505891,665399,standardized_embedding,,
independent,section1,4,665399,128,0.10082334280014038,0.5504116714000702,10000,59978.727161921845,2.7233504266640525,665399,standardized_embedding,,
independent,section1,5,665399,128,0.1065574437379837,0.5532787218689919,10000,55251.34740693567,2.456149330997228,665399,standardized_embedding,,
independent,section1,6,665399,128,0.11497581750154495,0.5574879087507725,10000,52178.7338348595,2.385832073756528,665399,standardized_embedding,,
independent,section1,7,665399,128,0.11397042125463486,0.5569852106273174,10000,48289.391462259904,2.471443116437531,665399,standardized_embedding,,
independent,section1,8,665399,128,0.12442856281995773,0.5622142814099789,10000,47555.75272318438,2.293941761511644,665399,standardized_embedding,,
independent,section1,9,665399,128,0.13378295302391052,0.5668914765119553,10000,47407.26702171762,2.14317753735068,665399,standardized_embedding,,
independent,section1,10,665399,128,0.12909574806690216,0.5645478740334511,10000,44909.126001613826,2.224548038105886,665399,standardized_embedding,,
independent,section1,11,665399,128,0.1217588409781456,0.5608794204890728,10000,40275.928332838565,2.323095636014966,665399,standardized_embedding,,
independent,section1,12,665399,128,0.12410218268632889,0.5620510913431644,10000,41041.563515924994,2.1336314191084127,665399,standardized_embedding,,
independent,section1,13,665399,128,0.13925132155418396,0.569625660777092,10000,40580.84052866138,2.141919547159852,665399,standardized_embedding,,
independent,section1,14,665399,128,0.12946031987667084,0.5647301599383354,10000,38992.44260662051,2.1589100035588653,665399,standardized_embedding,,
independent,section1,15,665399,128,0.12689556181430817,0.5634477809071541,10000,37105.293838198406,2.2872369677457884,665399,standardized_embedding,,
independent,section1,16,665399,128,0.12132008373737335,0.5606600418686867,10000,34639.384082266086,2.188789844598352,665399,standardized_embedding,,
independent,section1,17,665399,128,0.13001517951488495,0.5650075897574425,10000,34541.132005470135,2.202503821915652,665399,standardized_embedding,,
independent,section1,18,665399,128,0.13208481669425964,0.5660424083471298,10000,34975.687585763946,2.0229479004827686,665399,standardized_embedding,,
independent,section1,19,665399,128,0.13316522538661957,0.5665826126933098,10000,33677.22123907295,2.1115779309682083,665399,standardized_embedding,,
independent,section1,20,665399,128,0.12281084060668945,0.5614054203033447,10000,32167.073262563466,2.2433969297450043,665399,standardized_embedding,,
independent,section2,2,403563,128,0.11504119634628296,0.5575205981731415,10000,51613.784957447024,2.78420780344335,403563,standardized_embedding,,
independent,section2,3,403563,128,0.10731055587530136,0.5536552779376507,10000,43530.86579882013,2.5508763466475552,403563,standardized_embedding,,
independent,section2,4,403563,128,0.1177268698811531,0.5588634349405766,10000,40533.18600964872,2.498647446681143,403563,standardized_embedding,,
independent,section2,5,403563,128,0.11141596734523773,0.5557079836726189,10000,33074.3561638008,2.751402668426921,403563,standardized_embedding,,
independent,section2,6,403563,128,0.1074230745434761,0.553711537271738,10000,31648.457249363393,2.525798499154663,403563,standardized_embedding,,
independent,section2,7,403563,128,0.1322404444217682,0.5661202222108841,10000,32086.05704648445,2.303683278842346,403563,standardized_embedding,,
independent,section2,8,403563,128,0.13864165544509888,0.5693208277225494,10000,31320.024242718195,2.188336292133075,403563,standardized_embedding,,
