scope,label,sample_order,section,spot_id
combined,cell_type_common,0,section1,section1:187:9
combined,cell_type_common,1,section1,section1:347:10
combined,cell_type_common,2,section1,section1:151:11
combined,cell_type_common,3,section1,section1:168:13
combined,cell_type_common,4,section1,section1:276:14
combined,cell_type_common,5,section1,section1:344:14
combined,cell_type_common,6,section1,section1:353:14
combined,cell_type_common,7,section1,section1:396:14
combined,cell_type_common,8,section1,section1:1177:14
combined,cell_type_common,9,section1,section1:204:15
combined,cell_type_common,10,section1,section1:401:15
combined,cell_type_common,11,section1,section1:432:15
combined,cell_type_common,12,section1,section1:145:16
combined,cell_type_common,13,section1,section1:154:16
combined,cell_type_common,14,section1,section1:455:16
combined,cell_type_common,15,section1,section1:181:17
combined,cell_type_common,16,section1,section1:191:17
combined,cell_type_common,17,section1,section1:227:17
combined,cell_type_common,18,section1,section1:376:17
combined,cell_type_common,19,section1,section1:138:19
combined,cell_type_common,20,section1,section1:183:19
combined,cell_type_common,21,section1,section1:322:19
combined,cell_type_common,22,section1,section1:129:20
combined,cell_type_common,23,section1,section1:202:20
combined,cell_type_common,24,section1,section1:268:20
combined,cell_type_common,25,section1,section1:412:20
combined,cell_type_common,26,section1,section1:92:21
combined,cell_type_common,27,section1,section1:100:21
combined,cell_type_common,28,section1,section1:123:21
combined,cell_type_common,29,section1,section1:426:21
combined,cell_type_common,30,section1,section1:450:21
combined,cell_type_common,31,section1,section1:214:22
combined,cell_type_common,32,section1,section1:293:22
combined,cell_type_common,33,section1,section1:299:22
combined,cell_type_common,34,section1,section1:319:22
combined,cell_type_common,35,section1,section1:1183:22
combined,cell_type_common,36,section1,section1:306:23
combined,cell_type_common,37,section1,section1:1118:23
combined,cell_type_common,38,section1,section1:96:24
combined,cell_type_common,39,section1,section1:216:24
combined,cell_type_common,40,section1,section1:432:24
combined,cell_type_common,41,section1,section1:168:25
combined,cell_type_common,42,section1,section1:441:25
combined,cell_type_common,43,section1,section1:452:25
combined,cell_type_common,44,section1,section1:88:26
combined,cell_type_common,45,section1,section1:93:26
combined,cell_type_common,46,section1,section1:176:26
combined,cell_type_common,47,section1,section1:533:26
combined,cell_type_common,48,section1,section1:65:27
combined,cell_type_common,49,section1,section1:180:27
combined,cell_type_common,50,section1,section1:230:27
combined,cell_type_common,51,section1,section1:546:27
combined,cell_type_common,52,section1,section1:527:28
combined,cell_type_common,53,section1,section1:608:28
combined,cell_type_common,54,section1,section1:614:28
combined,cell_type_common,55,section1,section1:101:29
combined,cell_type_common,56,section1,section1:121:29
combined,cell_type_common,57,section1,section1:541:29
combined,cell_type_common,58,section1,section1:947:29
combined,cell_type_common,59,section1,section1:1051:29
combined,cell_type_common,60,section1,section1:1122:29
combined,cell_type_common,61,section1,section1:1152:29
combined,cell_type_common,62,section1,section1:1171:29
combined,cell_type_common,63,section1,section1:353:30
combined,cell_type_common,64,section1,section1:466:30
combined,cell_type_common,65,section1,section1:1032:30
combined,cell_type_common,66,section1,section1:1036:30
combined,cell_type_common,67,section1,section1:1043:30
combined,cell_type_common,68,section1,section1:1116:30
combined,cell_type_common,69,section1,section1:1151:30
combined,cell_type_common,70,section1,section1:317:31
combined,cell_type_common,71,section1,section1:435:31
combined,cell_type_common,72,section1,section1:530:31
combined,cell_type_common,73,section1,section1:551:31
combined,cell_type_common,74,section1,section1:639:31
combined,cell_type_common,75,section1,section1:723:31
combined,cell_type_common,76,section1,section1:763:31
combined,cell_type_common,77,section1,section1:1073:31
combined,cell_type_common,78,section1,section1:1086:31
combined,cell_type_common,79,section1,section1:255:32
combined,cell_type_common,80,section1,section1:276:32
combined,cell_type_common,81,section1,section1:378:32
combined,cell_type_common,82,section1,section1:436:32
combined,cell_type_common,83,section1,section1:799:32
combined,cell_type_common,84,section1,section1:245:33
combined,cell_type_common,85,section1,section1:373:33
combined,cell_type_common,86,section1,section1:460:33
combined,cell_type_common,87,section1,section1:476:33
combined,cell_type_common,88,section1,section1:568:33
combined,cell_type_common,89,section1,section1:587:33
combined,cell_type_common,90,section1,section1:738:33
combined,cell_type_common,91,section1,section1:1048:33
combined,cell_type_common,92,section1,section1:1108:33
combined,cell_type_common,93,section1,section1:1126:33
combined,cell_type_common,94,section1,section1:1177:33
combined,cell_type_common,95,section1,section1:104:34
combined,cell_type_common,96,section1,section1:301:34
combined,cell_type_common,97,section1,section1:354:34
combined,cell_type_common,98,section1,section1:125:35
combined,cell_type_common,99,section1,section1:248:35
combined,cell_type_common,100,section1,section1:371:35
combined,cell_type_common,101,section1,section1:434:35
combined,cell_type_common,102,section1,section1:496:35
combined,cell_type_common,103,section1,section1:629:35
combined,cell_type_common,104,section1,section1:727:35
combined,cell_type_common,105,section1,section1:823:35
combined,cell_type_common,106,section1,section1:1057:35
combined,cell_type_common,107,section1,section1:1122:35
combined,cell_type_common,108,section1,section1:221:36
combined,cell_type_common,109,section1,section1:287:36
combined,cell_type_common,110,section1,section1:381:36
combined,cell_type_common,111,section1,section1:601:36
combined,cell_type_common,112,section1,section1:685:36
combined,cell_type_common,113,section1,section1:891:36
combined,cell_type_common,114,section1,section1:1041:36
combined,cell_type_common,115,section1,section1:1184:36
combined,cell_type_common,116,section1,section1:266:37
combined,cell_type_common,117,section1,section1:545:37
combined,cell_type_common,118,section1,section1:621:37
combined,cell_type_common,119,section1,section1:759:37
combined,cell_type_common,120,section1,section1:891:37
combined,cell_type_common,121,section1,section1:936:37
combined,cell_type_common,122,section1,section1:393:38
combined,cell_type_common,123,section1,section1:474:38
combined,cell_type_common,124,section1,section1:549:38
combined,cell_type_common,125,section1,section1:678:38
combined,cell_type_common,126,section1,section1:682:38
combined,cell_type_common,127,section1,section1:751:38
combined,cell_type_common,128,section1,section1:1021:38
combined,cell_type_common,129,section1,section1:1024:38
combined,cell_type_common,130,section1,section1:1115:38
combined,cell_type_common,131,section1,section1:1137:38
combined,cell_type_common,132,section1,section1:1145:38
combined,cell_type_common,133,section1,section1:107:39
combined,cell_type_common,134,section1,section1:115:39
combined,cell_type_common,135,section1,section1:126:39
combined,cell_type_common,136,section1,section1:146:39
combined,cell_type_common,137,section1,section1:206:39
combined,cell_type_common,138,section1,section1:293:39
combined,cell_type_common,139,section1,section1:433:39
combined,cell_type_common,140,section1,section1:1016:39
combined,cell_type_common,141,section1,section1:1131:39
