mode,scope,k,section,n_obs,spatial_neighbor_k,neighbor_same_cluster_fraction
joint,combined,2,section1,665399,6,0.9504214764374458
joint,combined,2,section2,403563,6,0.9520801791376646
joint,combined,3,section1,665399,6,0.9168180795783182
joint,combined,3,section2,403563,6,0.9150297888227282
joint,combined,4,section1,665399,6,0.9045154361017474
joint,combined,4,section2,403563,6,0.9037448923712035
joint,combined,5,section1,665399,6,0.8476290165750174
joint,combined,5,section2,403563,6,0.8610857123505706
joint,combined,6,section1,665399,6,0.850199153690743
joint,combined,6,section2,403563,6,0.8525835288831402
joint,combined,7,section1,665399,6,0.7637991140153001
joint,combined,7,section2,403563,6,0.7476379152697349
joint,combined,8,section1,665399,6,0.7681373631961174
joint,combined,8,section2,403563,6,0.7550667429868447
joint,combined,9,section1,665399,6,0.7572276183162283
joint,combined,9,section2,403563,6,0.7332271128258372
joint,combined,10,section1,665399,6,0.7576236213159322
joint,combined,10,section2,403563,6,0.7364831100307345
joint,combined,11,section1,665399,6,0.7489203219922683
joint,combined,11,section2,403563,6,0.7311559781248529
joint,combined,12,section1,665399,6,0.7329597229131193
joint,combined,12,section2,403563,6,0.719762878823546
joint,combined,13,section1,665399,6,0.7334762050038147
joint,combined,13,section2,403563,6,0.7236420748846318
joint,combined,14,section1,665399,6,0.6845293826210539
joint,combined,14,section2,403563,6,0.6803291348975666
joint,combined,15,section1,665399,6,0.7106169882030682
joint,combined,15,section2,403563,6,0.6932535936148755
joint,combined,16,section1,665399,6,0.6732767357129582
joint,combined,16,section2,403563,6,0.6843347052793904
joint,combined,17,section1,665399,6,0.680832102242414
joint,combined,17,section2,403563,6,0.685053304358097
joint,combined,18,section1,665399,6,0.6696841544196289
joint,combined,18,section2,403563,6,0.679396195059177
joint,combined,19,section1,665399,6,0.6387859013914959
joint,combined,19,section2,403563,6,0.6552987596319121
joint,combined,20,section1,665399,6,0.662930061511965
joint,combined,20,section2,403563,6,0.6607175748685252
independent,section1,2,section1,665399,6,0.9513249443817419
independent,section1,3,section1,665399,6,0.9072408685114746
independent,section1,4,section1,665399,6,0.8746358701070085
independent,section1,5,section1,665399,6,0.8373787757420735
independent,section1,6,section1,665399,6,0.7999511070300176
independent,section1,7,section1,665399,6,0.8034482568604201
independent,section1,8,section1,665399,6,0.7316372081512997
independent,section1,9,section1,665399,6,0.7585518864120124
independent,section1,10,section1,665399,6,0.7543418810868867
independent,section1,11,section1,665399,6,0.7291640053561848
independent,section1,12,section1,665399,6,0.7058070921857913
independent,section1,13,section1,665399,6,0.7051535995695816
independent,section1,14,section1,665399,6,0.6827387276907039
independent,section1,15,section1,665399,6,0.6576888453394129
independent,section1,16,section1,665399,6,0.667110761112255
independent,section1,17,section1,665399,6,0.6645265973248131
independent,section1,18,section1,665399,6,0.6301978211569299
independent,section1,19,section1,665399,6,0.6417941215220743
independent,section1,20,section1,665399,6,0.6163725323703021
independent,section2,2,section2,403563,6,0.9522846081859173
independent,section2,3,section2,403563,6,0.9502795515611359
independent,section2,4,section2,403563,6,0.944854954492855
independent,section2,5,section2,403563,6,0.8622970060849648
independent,section2,6,section2,403563,6,0.8653440313738706
independent,section2,7,section2,403563,6,0.9032150287976516
independent,section2,8,section2,403563,6,0.8589187644390921
independent,section2,9,section2,403563,6,0.8250946361947619
independent,section2,10,section2,403563,6,0.8323648765289847
independent,section2,11,section2,403563,6,0.7750491662185747
independent,section2,12,section2,403563,6,0.736428182629891
independent,section2,13,section2,403563,6,0.7989942090825968
independent,section2,14,section2,403563,6,0.7539508494749684
independent,section2,15,section2,403563,6,0.7724002613387914
independent,section2,16,section2,403563,6,0.7456163391259026
independent,section2,17,section2,403563,6,0.7235759968084289
independent,section2,18,section2,403563,6,0.726420245000987
independent,section2,19,section2,403563,6,0.7142052996269067
independent,section2,20,section2,403563,6,0.7085246500133395
