mode,k,neighbor_same_cluster_fraction
independent,2,0.9518047762838295
independent,3,0.9287602100363053
independent,4,0.9097454122999318
independent,5,0.8498378909135191
independent,6,0.8326475692019442
independent,7,0.8533316428290358
independent,8,0.795277986295196
independent,9,0.7918232613033871
independent,10,0.7933533788079357
independent,11,0.7521065857873797
independent,12,0.7211176374078412
independent,13,0.7520739043260891
independent,14,0.7183447885828361
independent,15,0.7150445533391021
independent,16,0.7063635501190788
independent,17,0.694051297066621
independent,18,0.6783090330789585
independent,19,0.6779997105744905
independent,20,0.6624485911918208
joint,2,0.9512508277875552
joint,3,0.9159239342005232
joint,4,0.9041301642364754
joint,5,0.854357364462794
joint,6,0.8513913412869416
joint,7,0.7557185146425175
joint,8,0.7616020530914811
joint,9,0.7452273655710328
joint,10,0.7470533656733334
joint,11,0.7400381500585607
joint,12,0.7263613008683326
joint,13,0.7285591399442233
joint,14,0.6824292587593103
joint,15,0.7019352909089718
joint,16,0.6788057204961744
joint,17,0.6829427033002555
joint,18,0.674540174739403
joint,19,0.647042330511704
joint,20,0.6618238181902452
